Question,Question_Dir,Answer
ratio4Q7,DATA/MATH/PROB/ratio4Q7.png,2
percent1Q2,DATA/MATH/PROB/percent1Q2.png,3
percent1Q3,DATA/MATH/PROB/percent1Q3.png,3
percent1Q4,DATA/MATH/PROB/percent1Q4.png,2
percent1Q5,DATA/MATH/PROB/percent1Q5.png,2
percent1Q6,DATA/MATH/PROB/percent1Q6.png,2
percent1Q7,DATA/MATH/PROB/percent1Q7.png,3
percent1Q8,DATA/MATH/PROB/percent1Q8.png,1
percent4Q2,DATA/MATH/PROB/percent4Q2.png,1
percent4Q3,DATA/MATH/PROB/percent4Q3.png,3
percent4Q4,DATA/MATH/PROB/percent4Q4.png,4
percent4Q5,DATA/MATH/PROB/percent4Q5.png,3
percent4Q6,DATA/MATH/PROB/percent4Q6.png,2
percent4Q7,DATA/MATH/PROB/percent4Q7.png,3
percent5Q2,DATA/MATH/PROB/percent5Q2.png,2
percent5Q3,DATA/MATH/PROB/percent5Q3.png,2
percent5Q4,DATA/MATH/PROB/percent5Q4.png,4
percent5Q5,DATA/MATH/PROB/percent5Q5.png,4
percent5Q6,DATA/MATH/PROB/percent5Q6.png,1
percent5Q7,DATA/MATH/PROB/percent5Q7.png,2
eqpro2Q2,DATA/MATH/PROB/eqpro2Q2.png,2
eqpro2Q3,DATA/MATH/PROB/eqpro2Q3.png,2
eqpro2Q4,DATA/MATH/PROB/eqpro2Q4.png,2
eqpro2Q5,DATA/MATH/PROB/eqpro2Q5.png,4
eqpro3Q2,DATA/MATH/PROB/eqpro3Q2.png,1
eqpro3Q3,DATA/MATH/PROB/eqpro3Q3.png,4
eqpro3Q4,DATA/MATH/PROB/eqpro3Q4.png,3
eqpro3Q5,DATA/MATH/PROB/eqpro3Q5.png,3
eqpro3Q6,DATA/MATH/PROB/eqpro3Q6.png,2
pace3Q2,DATA/MATH/PROB/pace3Q2.png,1
pace3Q3,DATA/MATH/PROB/pace3Q3.png,3
pace3Q4,DATA/MATH/PROB/pace3Q4.png,2
pace3Q5,DATA/MATH/PROB/pace3Q5.png,4
pace3Q6,DATA/MATH/PROB/pace3Q6.png,2
pace3Q7,DATA/MATH/PROB/pace3Q7.png,3
pace3Q8,DATA/MATH/PROB/pace3Q8.png,1
asquares2Q2,DATA/MATH/GEO/asquares2Q2.png,2
asquares2Q3,DATA/MATH/GEO/asquares2Q3.png,2
asquares2Q4,DATA/MATH/GEO/asquares2Q4.png,4
asquares2Q5,DATA/MATH/GEO/asquares2Q5.png,2
asquares3Q2,DATA/MATH/GEO/asquares3Q2.png,3
asquares3Q3,DATA/MATH/GEO/asquares3Q3.png,2
asquares3Q4,DATA/MATH/GEO/asquares3Q4.png,2
asquares3Q5,DATA/MATH/GEO/asquares3Q5.png,3
poly1Q2,DATA/MATH/GEO/poly1Q2.png,3
poly1Q3,DATA/MATH/GEO/poly1Q3.png,1
poly1Q4,DATA/MATH/GEO/poly1Q4.png,2
poly1Q5,DATA/MATH/GEO/poly1Q5.png,1
volume2Q2,DATA/MATH/GEO/volume2Q2.png,3
volume2Q3,DATA/MATH/GEO/volume2Q3.png,2
volume2Q4,DATA/MATH/GEO/volume2Q4.png,1
volume2Q5,DATA/MATH/GEO/volume2Q5.png,2
volume2Q6,DATA/MATH/GEO/volume2Q6.png,3
aeq4Q6,DATA/MATH/ALG/aeq4Q6.png,1
aeq5Q6,DATA/MATH/ALG/aeq5Q6.png,2
star3Q4,DATA/MATH/ALG/star3Q4.png,3
eish1Q5,DATA/MATH/ALG/eish1Q5.png,3
eish1Q6,DATA/MATH/ALG/eish1Q6.png,2
int3Q5,DATA/MATH/ALG/int3Q5.png,1
int3Q6,DATA/MATH/ALG/int3Q6.png,1
ratio2Q6,DATA/MATH/PROB/ratio2Q6.png,4
ratio2Q7,DATA/MATH/PROB/ratio2Q7.png,4
percent4Q8,DATA/MATH/PROB/percent4Q8.png,2
